NAME,POSTCODE,LATITUDE,LONGITUDE,STATE_NAME
Alfred Cove,6154,-32.032791,115.812241,WA
Alfredton,3350,-37.55386,143.800873,VIC
Alfredtown,2650,-35.161491,147.51062,NSW
Algester,4115,-27.611492,153.032333,QLD
Ali Curung,872,-21.010868,134.414902,NT
Alice,2469,-29.051422,152.589035,NSW
Alice Creek,4610,-26.771059,151.58548,QLD
Alice River,4817,-19.320011,146.605423,QLD
Alice Springs,870,-23.700211,133.880615,NT
Alice Springs,871,-23.697102,133.87355,NT
Alice Springs,872,-23.700211,133.880615,NT
Alison,2259,-33.275913,151.404678,NSW
Alison,2420,-32.445454,151.774612,NSW
Alkimos,6038,-31.617155,115.680588,WA
Allambee,3823,-38.263332,146.033066,VIC
Allambee Reserve,3871,-38.299683,146.025818,VIC
Allambee South,3871,-38.355942,146.1082,VIC
Allambie Heights,2100,-33.765533,151.250748,NSW
Allan,4370,-28.192398,151.950119,QLD
Allandale,2320,-32.721066,151.413971,NSW
Allandale,4310,-28.01292,152.748413,QLD
Allanooka,6525,-29.089905,115.016319,WA
Allans Flat,3691,-36.285492,146.908585,VIC
Allansford,3277,-38.385468,142.590851,VIC
Allanson,6225,-33.336811,116.097282,WA
Allawah,2218,-33.970242,151.115372,NSW
Alleena,2671,-34.074078,147.140808,NSW
Allenby Gardens,5009,-34.89492,138.555786,SA
Allendale,3364,-37.369061,143.921875,VIC
Allendale East,5291,-38.001778,140.710144,SA
Allendale North,5373,-34.275425,138.888245,SA
Allens Rivulet,7150,-43.010605,147.20343,TAS
Allenstown,4700,-23.390114,150.503983,QLD
Allenview,4285,-27.911533,152.941452,QLD
Allestree,3305,-38.273315,141.649399,VIC
Allgomera,2441,-30.808792,152.807495,NSW
Alligator Creek,4740,-21.322163,149.192245,QLD
Alligator Creek,4816,-19.383505,146.928085,QLD
Allingham,4850,-18.643944,146.164154,QLD
Allora,4362,-28.035992,151.985123,QLD
Alloway,4670,-24.923437,152.376373,QLD
Allworth,2425,-32.538982,151.958206,NSW
Allynbrook,2311,-32.363335,151.536957,NSW
Alma,3465,-37.025341,143.681259,VIC
Alma,5401,-34.266632,138.630753,SA
Alma,6535,-28.276434,114.634621,WA
Alma Park,2659,-35.596462,146.792664,NSW
Almaden,4871,-17.339064,144.676086,QLD
Almonds,3727,-36.212055,146.031326,VIC
Almurta,3979,-38.452076,145.553207,VIC
Alonnah,7150,-43.315876,147.242844,TAS
Aloomba,4871,-17.10841,145.831711,QLD
Alpha,4724,-23.648445,146.64064,QLD
Alphington,3078,-37.781055,145.030701,VIC
Alpine,2575,-34.405201,150.50769,NSW
Alpurrurulam,4825,-20.981092,137.861816,NT
Alsace,4702,-23.273096,149.350372,QLD
Alstonvale,2477,-28.795519,153.44899,NSW
Alstonville,2477,-28.841452,153.439163,NSW
Alton Downs,4702,-23.306805,150.387497,QLD
Altona,3018,-37.859344,144.812637,VIC
Altona,5351,-34.602036,138.915543,SA
Altona East,3025,-37.835114,144.823624,VIC
Altona Gate,3025,-37.826794,144.846741,VIC
Altona Meadows,3028,-37.882893,144.785004,VIC
Altona North,3025,-37.835114,144.823624,VIC
Alumy Creek,2460,-29.640362,152.951996,NSW
Alva,4807,-19.456705,147.48233,QLD
Alvie,3249,-38.244377,143.515289,VIC
Alyangula,885,-13.852865,136.422485,NT
Amamoor,4570,-26.348637,152.675735,QLD
Amamoor Creek,4570,-26.383945,152.50592,QLD
Amaroo,2866,-33.162098,148.918503,NSW
Amaroo,2914,-35.173012,149.122772,ACT
Amaroo,4829,-23.018255,139.322952,QLD
Amata,872,-26.268202,131.260284,SA
Ambania,6632,-28.783651,115.149147,WA
Ambarvale,2560,-34.085472,150.801819,NSW
Amber,4871,-17.575283,144.30278,QLD
Ambergate,6280,-33.688255,115.324821,WA
Amberley,4306,-27.640743,152.702271,QLD
Ambleside,7310,-41.199963,146.365921,TAS
Ambrose,4695,-23.783569,150.927734,QLD
Amby,4462,-26.548519,148.187683,QLD
Amelup,6338,-34.252052,118.219833,WA
American Beach,5222,-35.76646,137.882172,SA
American River,5221,-35.767639,137.753891,SA
Amherst,3371,-37.145348,143.668716,VIC
Amiens,4380,-28.58812,151.808502,QLD
Amity,4183,-27.398357,153.438705,QLD
Amity Point,4183,-27.211182,153.038788,QLD
Amoonguna,872,-23.768513,133.935486,NT
Amor,3825,-37.939259,146.402374,VIC
Amphitheatre,3468,-37.181107,143.402313,VIC
Ampilatwatja,872,-21.659437,135.254013,NT
Amyton,5431,-32.617092,138.327377,SA
Anabranch North,2648,-33.283978,141.78891,NSW
Anabranch South,2648,-33.731812,141.810028,NSW
Anakie,3221,-37.915581,144.257278,VIC
Anakie,4702,-23.552727,147.744232,QLD
Anama,5464,-33.671345,138.578491,SA
Anambah,2320,-32.682304,151.497925,NSW
Anatye,872,-23.068586,136.193939,NT
Ancona,3715,-36.984165,145.798615,VIC
Andamooka,5722,-30.079916,137.136215,SA
Andergrove,4740,-21.108994,149.175812,QLD
Anderleigh,4570,-26.02022,152.685471,QLD
Anderson,3995,-38.524258,145.447067,VIC
Ando,2631,-36.738506,149.261124,NSW
Andover,7120,-42.328739,147.462006,TAS
Andrews,5454,-33.599117,138.631348,SA
Andrews Farm,5114,-34.670105,138.66655,SA
Andromache,4800,-20.561838,148.445236,QLD
Anduramba,4355,-27.134304,152.086182,QLD
Anembo,2621,-35.811291,149.428268,NSW
Angas Plains,5255,-35.330166,138.976608,SA
Angas Valley,5238,-34.755421,139.282455,SA
Angaston,5353,-34.501144,139.04808,SA
Angelo River,6642,-23.694963,118.724876,WA
Angle Park,5010,-34.859592,138.557526,SA
Angle Vale,5117,-34.646664,138.643906,SA
Angledale,2550,-36.624809,149.881226,NSW
Angledool,2834,-29.099379,147.893692,NSW
Anglers Reach,2629,-35.998753,148.664703,NSW
Anglers Rest,3898,-36.990822,147.482849,VIC
Anglesea,3230,-38.408405,144.17746,VIC
Angourie,2464,-29.478876,153.359833,NSW
Angurugu,822,-13.980523,136.462112,NT
Anindilyakwa,822,-13.94507,136.446777,NT
Anketell,6167,-32.21909,115.857094,WA
Anmatjere,872,-21.89621,133.579941,NT
Anna Bay,2316,-32.777546,152.085953,NSW
Annadale,5356,-34.3908,139.353714,SA
Annandale,2038,-33.882404,151.172363,NSW
Annandale,4814,-19.315025,146.790771,QLD
Annangrove,2156,-33.671143,150.955429,NSW
Annerley,4103,-27.511452,153.031708,QLD
Annie River,822,-12.440992,133.483734,NT
Anniebrook,6280,-33.659439,115.174294,WA
Annuello,3549,-34.857838,142.840302,VIC
Ansons Bay,7264,-41.035477,148.267532,TAS
Anstead,4070,-27.540745,152.862335,QLD
Antechamber Bay,5222,-35.783413,138.058914,SA
Antewenegerrde,872,-19.491411,132.550964,NT
Anthony,4310,-27.878159,152.684113,QLD
Antigua,4650,-25.633614,152.591293,QLD
Antill Ponds,7120,-42.203522,147.400955,TAS
Antonymyre,6714,-20.65003,117.08548,WA
Antwerp,3414,-36.296703,142.026154,VIC
Anula,812,-12.392477,130.890976,NT
Apamurra,5237,-34.85738,139.19632,SA
Apoinga,5413,-33.927971,138.937469,SA
Apollo Bay,3233,-38.757168,143.669617,VIC
Apollo Bay,7150,-43.165928,147.296677,TAS
Appila,5480,-33.049152,138.428116,SA
Appin,2560,-34.19791,150.788544,NSW
Appin,3579,-35.891678,143.876114,VIC
Appin South,3579,-35.924339,143.858337,VIC
Apple Tree Creek,4660,-25.225084,152.235428,QLD
Apple Tree Flat,2850,-32.685688,149.705414,NSW
Appleby,2340,-30.962532,150.829285,NSW
Applecross,6153,-32.02533,115.843307,WA
Applecross,6953,-31.979612,115.818558,WA
Applecross North,6153,-32.02533,115.843307,WA
Applethorpe,4378,-28.61227,151.928696,QLD
Appletree Flat,2330,-32.51432,150.861832,NSW
Apslawn,7190,-41.957546,148.162659,TAS
Apsley,2820,-32.59832,148.963699,NSW
Apsley,3319,-36.968544,141.083237,VIC
Apsley,7030,-42.429714,147.142532,TAS
Arable,2630,-36.36842,148.942734,NSW
Arakoon,2431,-30.886242,153.070892,NSW
Araluen,870,-23.702309,133.849594,NT
Araluen,2622,-35.644684,149.812469,NSW
Araluen,4570,-26.15662,152.652832,QLD
Aramac,4726,-22.972151,145.245438,QLD
Aramara,4620,-25.611338,152.321472,QLD
Arana Hills,4054,-27.397661,152.959259,QLD
Aranbanga,4625,-25.829451,151.666565,QLD
Aranda,2614,-35.256283,149.079117,ACT
Arapiles,3409,-36.737133,141.855896,VIC
Ararat,3377,-37.282261,142.929977,VIC
Aratula,2714,-35.795685,145.319656,NSW
Aratula,4309,-27.981098,152.548889,QLD
Arawata,3951,-38.394794,145.873993,VIC
Arbouin,4871,-17.027473,144.049438,QLD
Arbuckle,3858,-37.33952,146.765808,VIC
Arcadia,2159,-33.626705,151.039932,NSW
Arcadia,3631,-36.565437,145.331833,VIC
Arcadia,4819,-19.151712,146.861481,QLD
Arcadia South,3631,-36.591801,145.372482,VIC
Arcadia Vale,2283,-33.061237,151.586594,NSW
Archdale,3475,-36.83099,143.50206,VIC
Archdale Junction,3475,-36.885296,143.517151,VIC
Archer,830,-12.514613,130.969955,NT
Archer River,4871,-13.102092,142.523849,QLD
Archerfield,4108,-27.567074,153.01506,QLD
Archerfield Bc,4108,-27.565823,153.020645,QLD
Archerton,3723,-36.895931,146.260391,VIC
Archies Creek,3995,-38.548084,145.562469,VIC
Ardath,6419,-32.044861,118.135674,WA
Ardeer,3022,-37.777672,144.798889,VIC
Ardglen,2338,-31.730137,150.78392,NSW
Arding,2358,-30.556158,151.53096,NSW
Ardlethan,2665,-34.357033,146.903488,NSW
Ardmona,3629,-36.378536,145.295517,VIC
Ardross,6153,-32.021309,115.833206,WA
Ardrossan,5571,-34.423069,137.917435,SA
Areegra,3480,-36.268089,142.690353,VIC
Areyonga,872,-24.071835,132.26825,NT
Argalong,2720,-35.261826,148.486038,NSW
Argenton,2284,-32.935455,151.62883,NSW
Argents Hill,2449,-30.622141,152.74736,NSW
Argoon,2707,-34.977051,145.657547,NSW
Argoon,4702,-24.196611,150.370987,QLD
Argyle,2350,-30.53793,151.843185,NSW
Argyle,3523,-36.958126,144.712631,VIC
Argyle,6239,-33.539463,115.761322,WA
Argyll,4721,-23.276918,147.56218,QLD
Ariah Park,2665,-34.348095,147.219009,NSW
Arkaroola Village,5710,-30.310926,139.336121,SA
Arkell,2795,-33.733437,149.381516,NSW
Arkstone,2795,-34.042248,149.64299,NSW
Armadale,3143,-37.855633,145.02211,VIC
Armadale,6112,-32.152103,116.014771,WA
Armadale,6992,-32.149036,115.994858,WA
Armadale North,3143,-37.855633,145.02211,VIC
Armagh,5453,-33.825172,138.590256,SA
Armatree,2831,-31.448362,148.483688,NSW
Armidale,2350,-30.514343,151.666962,NSW
Armstrong,3377,-37.213272,142.893326,VIC
Armstrong Beach,4737,-21.445269,149.287827,QLD
Armstrong Creek,4520,-27.227083,152.829819,QLD
Arncliffe,2205,-33.938667,151.145798,NSW
Arndell Park,2148,-33.789062,150.883743,NSW
Arno Bay,5603,-33.908501,136.563354,SA
Arnold,852,-16.477232,134.102859,NT
Arnold,3551,-36.689835,143.868988,VIC
Arnold West,3551,-36.655907,143.768478,VIC
Aroona,4551,-26.779884,153.120972,QLD
Arrawarra,2456,-30.060148,153.193863,NSW
Arrawarra Headland,2456,-30.068598,153.198105,NSW
Arriga,4880,-17.046532,145.325058,QLD
Arrino,6519,-29.442207,115.629082,WA
Arrowsmith,6525,-29.577539,115.118736,WA
Arrowsmith East,6519,-29.50206,115.353333,WA
Artarmon,1570,-33.868626,151.217056,NSW
Artarmon,2064,-33.808632,151.184021,NSW
Arthur River,6315,-33.339474,117.034836,WA
Arthur River,7330,-41.053925,144.669434,TAS
Arthurs Creek,3099,-37.579525,145.20163,VIC
Arthurs Lake,7030,-42.039604,146.919052,TAS
Arthurs Seat,3936,-38.353535,144.951935,VIC
Arthurton,5572,-34.259308,137.756577,SA
Arthurville,2820,-32.566219,148.739578,NSW
Arumbera,870,-23.765129,133.863419,NT
Arumpo,2715,-33.871498,142.886017,NSW
Arundel,4214,-27.947353,153.374359,QLD
Arundel Bc,4214,-27.962362,153.36235,QLD
Ascot,3364,-37.400879,143.802505,VIC
Ascot,3551,-37.400879,143.802505,VIC
Ascot,4007,-27.430195,153.058273,QLD
Ascot,6104,-31.9258,115.951546,WA
Ascot Park,5043,-34.991882,138.557022,SA
Ascot Vale,3032,-37.77433,144.915833,VIC
Ashbourne,3442,-37.386044,144.44635,VIC
Ashbourne,5157,-35.288609,138.77417,SA
Ashburton,3147,-37.863323,145.079391,VIC
Ashbury,2193,-33.898178,151.120911,NSW
Ashby,2463,-29.436312,153.197235,NSW
Ashby,6065,-31.733854,115.794212,WA
Ashby Heights,2463,-29.409294,153.208725,NSW
Ashby Island,2463,-29.426125,153.204269,NSW
Ashcroft,2168,-33.915421,150.899078,NSW
Ashendon,6111,-32.228954,116.139725,WA
Ashfield,1800,-33.888813,151.124573,NSW
Ashfield,2131,-33.890972,151.125763,NSW
Ashfield,4670,-24.872276,152.387344,QLD
Ashfield,6054,-31.91326,115.936134,WA
Ashford,2361,-29.321793,151.093048,NSW
Ashford,5035,-34.948799,138.574844,SA
Ashgrove,4060,-27.441238,152.982376,QLD
Ashgrove West,4060,-27.441238,152.982376,QLD
Ashley,2400,-29.316305,149.806839,NSW
Ashmont,2650,-35.124931,147.329651,NSW
Ashmore,4214,-27.986423,153.380722,QLD
Ashmore City,4214,-27.986423,153.380722,QLD
Ashton,5137,-34.939526,138.737686,SA
Ashtonfield,2323,-32.773205,151.6073,NSW
Ashville,5259,-35.507988,139.380615,SA
Ashwell,4340,-27.629898,152.556046,QLD
Ashwood,3147,-37.867168,145.105392,VIC
Aspendale,3195,-38.027016,145.102295,VIC
Aspendale Gardens,3195,-38.023232,145.118073,VIC
Aspley,4034,-27.364372,153.017761,QLD
Asquith,2077,-33.687855,151.108459,NSW
Athelstone,5076,-34.870453,138.701782,SA
Atherton,4883,-17.266815,145.476074,QLD
Athlone,3818,-38.245991,145.775894,VIC
Athol,4350,-27.604593,151.749771,QLD
Athol Park,5012,-34.861271,138.547211,SA
Atholwood,2361,-28.999144,151.058578,NSW
Atitjere,872,-22.983587,134.935272,NT
Atkinsons Dam,4311,-27.41844,152.416199,QLD
Ato Activity Statements,1391,-31.253218,146.921097,NSW
Attadale,6156,-32.031418,115.809326,WA
Attunga,2345,-30.929094,150.846466,NSW
Attwood,3049,-37.671238,144.887268,VIC
Atwell,6164,-32.135513,115.865921,WA
Aubigny,4401,-27.521553,151.642441,QLD
Aubin Grove,6164,-32.164646,115.861076,WA
Aubrey,3393,-36.241108,142.2397,VIC
Auburn,1835,-33.854866,151.033386,NSW
Auburn,2144,-33.848515,151.029663,NSW
Auburn,3123,-37.822605,145.045853,VIC
Auburn,5451,-34.025284,138.685577,SA
Auburn South,3122,-37.830143,145.04361,VIC
Auburn Vale,2360,-29.836094,151.038483,NSW
Auchenflower,4066,-27.474073,152.995285,QLD
Auchmore,3570,-36.455257,144.105682,VIC
Audley,2232,-34.069458,151.056671,NSW
Augathella,4477,-25.791117,146.592514,QLD
Augusta,6290,-34.314922,115.159256,WA
Augustine Heights,4300,-27.657175,152.886856,QLD
Auldana,5072,-34.913254,138.685913,SA
Aurukun,4871,-13.359801,141.72879,QLD
Austinmer,2515,-34.306763,150.93425,NSW
Austins Ferry,7011,-42.780403,147.252274,TAS
Austinville,4213,-28.127668,153.316284,QLD
Austral,2179,-33.932892,150.811951,NSW
Austral Eden,2440,-31.021294,152.919067,NSW
Australia Fair,4215,-27.968843,153.41684,QLD
Australia Plains,5374,-34.097855,139.15564,SA
Australia Post Sales And Marketing,9250,-20.917574,142.702789,QLD
Australian Defence Forces,2890,-35.293888,149.163895,NSW
Australind,6233,-33.227337,115.733849,WA
Avalon,2107,-33.636024,151.328339,NSW
Avalon,3212,-38.036198,144.431122,VIC
Avalon Beach,2107,-33.635777,151.321014,NSW
Aveley,6069,-31.793264,115.985512,WA
Avenel,3664,-36.921455,145.336472,VIC
Avenell Heights,4670,-24.88744,152.369217,QLD
Avenue Range,5273,-36.968708,140.14209,SA
Avisford,2850,-32.742611,149.481384,NSW
Avoca,2577,-34.613087,150.479202,NSW
Avoca,3467,-37.088421,143.475082,VIC
Avoca,4670,-24.886866,152.307709,QLD
Avoca,7213,-41.782269,147.720276,TAS
Avoca Beach,2251,-33.465275,151.433945,NSW
Avoca Dell,5253,-35.093445,139.309525,SA
Avoca Vale,4306,-26.741667,152.24559,QLD
Avon,2574,-34.430573,150.654648,NSW
Avon,5501,-34.284054,138.335754,SA
Avon Downs,862,-20.03068,137.557907,NT
Avon Plains,3477,-36.565254,142.919037,VIC
Avon Valley National Park,6084,-31.648216,116.223984,WA
Avondale,2530,-34.517403,150.750824,NSW
Avondale,4670,-24.741198,152.159546,QLD
Avondale Heights,3034,-37.762825,144.864868,VIC
Avonmore,3559,-36.533062,144.602371,VIC
Avonside,2628,-36.410603,148.720139,NSW
Avonsleigh,3782,-37.924591,145.473343,VIC
Awaba,2283,-33.012333,151.542816,NSW
Axe Creek,3551,-36.812355,144.39476,VIC
Axedale,3551,-36.786942,144.502014,VIC
Ayers Rock,872,-25.351433,131.063965,NT
Aylmerton,2575,-34.420677,150.493011,NSW
Ayr,4807,-19.575842,147.405029,QLD
Ayrford,3268,-38.430096,142.856842,VIC
Ayton,4895,-15.098552,144.961182,QLD
Baan Baa,2390,-30.598162,149.952332,NSW
Baandee,6412,-31.581291,117.979271,WA
Babakin,6428,-32.150963,118.04203,WA
Babbage Island,6701,-24.875338,113.632195,WA
Babinda,2825,-31.924217,146.47583,NSW
Babinda,4861,-17.343889,145.921112,QLD
Babyl Creek,2470,-28.730068,152.791489,NSW
Bacchus Marsh,3340,-37.675995,144.438828,VIC
Back Creek,2372,-28.980946,151.716553,NSW
Back Creek,2390,-30.123341,150.271225,NSW
Back Creek,2422,-31.968321,152.068787,NSW
Back Creek,2484,-28.4051,153.170792,NSW
Back Creek,2622,-35.337357,149.938538,NSW
Back Creek,2671,-33.841156,147.405777,NSW
Back Forest,2535,-34.841446,150.677872,NSW
Back Plains,4361,-27.894812,151.79982,QLD
Back Valley,5211,-35.545761,138.590271,SA
Backmede,2470,-28.761993,153.020782,NSW
Backwater,2365,-30.067818,151.883911,NSW
Backy Point,5600,-33.777542,151.024689,SA
Baddaginnie,3670,-36.59338,145.861511,VIC
Baden,7120,-42.430874,147.468414,TAS
Badgebup,6317,-33.633499,117.899818,WA
Badger Creek,3777,-37.689346,145.546997,VIC
Badger Head,7270,-41.128529,146.715073,TAS
Badgerin Rock,6475,-30.689194,117.275124,WA
Badgerys Creek,2555,-33.885895,150.738861,NSW
Badgin,6302,-31.813688,116.99472,WA
Badgingarra,6521,-30.386209,115.500099,WA
Badja,2630,-36.035381,149.494064,NSW
Badjaling,6383,-31.999979,117.502342,WA
Badu Island,4875,-10.116416,142.127548,QLD
Bael Bael,3579,-35.676163,143.721893,VIC
Baerami,2333,-32.387436,150.468307,NSW
Baerami Creek,2333,-32.481972,150.477951,NSW
Baffle Creek,4674,-24.499966,151.928955,QLD
Baffle West,4454,-25.571882,148.712402,QLD
Bagdad,7030,-42.631195,147.223373,TAS
Bagdad North,7030,-42.631195,147.223373,TAS
Bagnoo,2446,-31.46468,152.529541,NSW
Bago,2446,-31.479277,152.714478,NSW
Bagot,820,-12.414598,130.856186,NT
Bagot Well,5373,-34.302967,138.960663,SA
Bagotville,2477,-28.974081,153.407211,NSW
Bagshot,3551,-36.65387,144.40332,VIC
Bagshot North,3551,-36.600227,144.411865,VIC
Bahgallah,3312,-37.639771,141.366089,VIC
Bahrs Scrub,4207,-27.741964,153.188828,QLD
Bailieston,3608,-36.734867,145.042816,VIC
Bailup,6082,-31.739288,116.312302,WA
Baines,852,-16.00087,129.445663,NT
Baird Bay,5671,-33.121552,134.355499,SA
Bairnsdale,3875,-37.824577,147.631714,VIC
Bajool,4699,-23.65254,150.641174,QLD
Bakara,5354,-34.656883,139.779831,SA
Bakara Well,5354,-34.567249,139.81105,SA
Bakers Beach,7307,-41.157013,146.613602,TAS
Bakers Bend,4470,-26.692646,145.971146,QLD
Bakers Creek,2359,-30.357409,150.983307,NSW
Bakers Creek,2422,-31.982292,152.099609,NSW
Bakers Creek,2447,-30.828167,152.711533,NSW
Bakers Creek,4740,-21.204689,149.146851,QLD
Bakers Hill,6562,-31.747177,116.459229,WA
Bakers Swamp,2820,-32.757366,148.92836,NSW
Bakery Hill,3350,-37.562431,143.866623,VIC
Bakery Hill,3354,-37.683891,144.584534,VIC
Bakewell,832,-12.500756,130.990219,NT
Baking Board,4413,-26.658449,150.576477,QLD
Balaclava,2575,-34.439705,150.476639,NSW
Balaclava,3183,-37.869083,144.995499,VIC
Balaklava,5461,-34.146172,138.415192,SA
Balala,2358,-30.618547,151.303482,NSW
Balarang,2529,-32.870522,151.651413,NSW
Balbarrup,6258,-34.199142,116.22979,WA
Balberra,4740,-21.29871,149.109879,QLD
Balcatta,6021,-31.874941,115.828392,WA
Balcatta,6914,-31.859932,115.809654,WA
Balcolyn,2264,-33.094765,151.547852,NSW
Balcomba,4702,-23.468054,149.698212,QLD
Bald Blair,2365,-30.170282,151.805695,NSW
Bald Hills,2549,-36.910278,149.84462,NSW
Bald Hills,3364,-37.436325,143.845459,VIC
Bald Hills,4036,-27.307499,153.0177,QLD
